adress_url_offer,company_name,company_size,empoyment_type,experience_lvl,if_company_page_exists,if_direct_apply_possible,offer_title,place,salary,tech_stack,text_offert_description
https://justjoin.it/offers/fitqbe-sp-z-o-o-frontend-developer,Fitqbe sp. z o.o.,10-23,permanent,mid,False,True,Frontend Developer,"Zachodnia 70, Łódź",8 500 - 12 500 PLN gross/month,"[{'HTML5': 'regular'}, {'CSS3': 'regular'}, {'JS': 'regular'}, {'AngularJS': 'regular'}, {'Vue.js': 'regular'}, {'Git': 'junior'}, {'UX': 'junior'}, {'Docker': 'nice to have'}]","<span><div><strong>Fitqbe</strong> to innowacyjny produkt, w postaci społecznościowej, grywalizacyjnej platformy wspierającej budowanie zdrowej kultury organizacji, z wewnętrznym systemem kafeteryjnym.<br>Praca w startupie, który jako pierwszy w Polsce realnie wpływa na dobrostan w miejscu pracy? To możliwe! Obecnie do naszego biura w Łodzi poszukujemy Frontend Developera do naszego zespołu IT w Łodzi. Pracując u nas będziesz brał czynny udział w tworzeniu i rozwijaniu ciekawej aplikacji SaaS.<br><br></div><div><strong>Wymagamy:</strong></div><ul><li>2 lat doświadczenia jako Frontend Developer,</li><li>Dobrej znajomości HTML5, CSS3 i JS ,</li><li>Doświadczenia Angulara lub VueJS - pracujemy na obu,</li><li>Doświadczenia w pracy z NPM oraz Git.<br><br></li></ul><div><strong>Dużym plusem będzie:</strong></div><ul><li>Znajomość metodyki Cross browser (IE11 +, Chrome, Safari, Firefox),</li><li>Zmysł UX i estetyki.</li></ul><div><strong> </strong></div><div><strong>O pracy u nas:</strong></div><div>Zadaniami i sprintami zarządzamy w JIRA, używamy GIT i Bitbucket, programujemy w PHPStorm, komunikujemy się przez Teamsy. Środowisko mamy oparte na Dockerze, a nowe release wypuszczamy przez CI/CD. <br><br></div><div><strong>Oferujemy:</strong></div><div>     </div><ul><li>Realny wpływ na wizję produktu,</li><li>Duże wsparcie i zaangażowanie ze strony zespołu,</li><li>Przestrzeń, w której rzeczywiście można się realizować i jednocześnie mieć poczucie, że robi się coś więcej dla innych – realizujemy misję poprawy dobrostanu pracowników we współpracy z pracodawcami,</li><li>Będąc częścią naszej aktywnej społeczności będziesz zarabiać punkty, które wykorzystasz na dostępne w naszej platformie benefity, np.Spotify, bilety do kin, kody do sklepów i setki innych. Jednym zdaniem, zapłacimy Ci za bycie zaangażowanym, zdrowym i aktywnym!</li><li>Okazjonalne Bonusy kwotowe do wykorzystania w naszym fitMarkecie, np. w dniu Twoich urodzin,</li><li>Dobre wynagrodzenie podstawowe uzależnione od doświadczenia,</li><li>Umowę (do uzgodnienia – UoP, UoZ, B2B),</li><li>Elastyczne godziny pracy z możliwością pracy zdalnej (kilka razy w miesiącu) oraz czasem na załatwienie swoich spraw prywatnych,</li><li>I przede wszystkim dobrą zabawę w nowoczesnej przestrzeni naszego biura w Co:Spot :)</li></ul></span>"
https://justjoin.it/offers/binarapps-ruby-on-rails-developer-lodz,BinarApps,80+,b2b,mid,False,False,Ruby on Rails Developer,"Roosevelta 6, Łódź",6 000 - 12 000 PLN net/month,"[{'Ruby on Rails': 'advanced'}, {'English': 'advanced'}, {'Git': 'regular'}, {'SQL': 'regular'}, {'Redis': 'regular'}, {'RSpec': 'regular'}]","<span><h1><br></h1><h1><strong>How do we work?</strong></h1><div><br></div><ul><li><h1>we usually cooperate with <strong>international clients</strong>, therefore we speak English on a daily basis</h1></li><li><h1>we pay a lot of attention to the quality of code. We keep it clean and well-tested. We do <strong>Merge Requests with mandatory Code Review, backed up with a CI</strong></h1></li><li><h1>we do things the <strong>Agile</strong> way</h1></li><li><h1>we work in a Team who don’t compromise on quality</h1></li><li><h1>we <strong>cooperate closely with clients, CEOs and CTOs </strong>and have a real influence on the final outcome</h1></li></ul><h1><br></h1><h1><br></h1><h1><strong>Our benefits:</strong></h1><div><br></div><h1><ul><li>inspiring <strong>projects for startups around the world </strong></li><li>partly <strong>remote </strong>job / flexible working hours</li><li><strong>self-growth budget</strong> (conferences, workshops, 8 h/mo self-growth paid time)</li><li>free English lessons with a native speaker</li><li>cool office in OFF Piotrkowska </li><li>private medical care </li><li>sports card co-funding</li><li>car park co-funding</li><li>MacBook </li></ul></h1><div><br></div><h1><strong>See our projects: </strong></h1><div><a href=""https://binarapps.com/clients/"">https://binarapps.com/clients/</a></div><div><br></div><div><br></div><div><br></div></span>"
https://justjoin.it/offers/sternkraft-bmbh-ror-senior,Sternkraft GmbH,10,b2b,mid,False,True,Mid Ruby on Rails,"Mokra 31, Chechło Drugie, Łódź",10 000 - 14 000 PLN net/month,"[{'RESTful API': 'advanced'}, {'Programming': 'regular'}, {'Ruby on Rails': 'regular'}, {'TypeScript': 'regular'}, {'JavaScript': 'regular'}, {'PostgreSQL': 'regular'}, {'Unix': 'regular'}, {'Python': 'regular'}, {'ReactJS': 'regular'}, {'Redux': 'regular'}]","<span><div><strong>The company:<br></strong>A passionate start-up - garage HW solution with a Web customer portal, small team of positive enthusiasts and lots of challenges. The Company offers having fun with HW (or learning quickly how to have fun with it) to people who are experts in SW and knowledgeable in FW. Our systems are already travelling across Europe, so current prospective is to extend interface functions, introduce new functionality and support a fast-growing customer base. If you want to change 12 billion loss (in 2018) in the EU alone and make the real change to the world business with IoT innovation we'll be most happy to talk to you!<br><br><strong>The product:<br></strong>The product is devoted to change the world of logistics, addressing losses in transit. It is designed as a Web IoT Portal integrated with a hardware monitoring / security solution. Hardware solution is our know-how based on best practices in embedded software. Unique AI algorithms are used to generate surprisingly advanced security capabilities. Technology focus - simplicity with robustness: as these are real production systems, so clients care more of quality and reliability than of advanced interface sugar.<br><br><strong>Essential requirements on experience:</strong></div><ul><li>Object oriented programming;</li><li>Ruby on Rails / similar web frameworks (3+ years);</li><li>TypeScript / JavaScript (3+ years);</li><li>Relational databases (PostgreSQL);</li><li>Open source operating systems (Linux, Unix);</li><li>RESTful API design.<br><br></li></ul><div><strong>Preferred requirements:</strong></div><ul><li>Experience of HW integration via REST / Web API;</li><li>ReactJS development experience;</li><li>DRY-rb, Redux experience in real projects;</li><li>Python knowledge;</li><li>Virtualization and orchestration (Docker, Kubernetes);</li><li>Amazon Web Services. </li></ul></span>"
https://justjoin.it/offers/htd-python-developer,HTD,70,b2b,mid,True,True,Python Developer,"Brukowa 12, Łódź",7 000 - 11 000 PLN net/month,"[{'Python': 'advanced'}, {'English': 'advanced'}, {'SQL': 'regular'}]","<span><div><strong>Requirements<br><br></strong>Must have:</div><ul><li>At least <strong>2 years</strong> experience in Python, with knowledge of at least one Python web framework such as Django or Flask</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+/C1)<br><br></li></ul><div>Nice to have:</div><ul><li>Basic understanding of front-end technologies</li><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><strong><br></strong><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 5800 - 9200 PLN gross<br>             B2B: 7000 - 11000 PLN net + VAT</div><div><br>Apply today by sending your CV and/or questions to <strong>careers@htdevelopers.com</strong></div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us at Facebook</a> to stay in touch!</div></span>"
https://justjoin.it/offers/htd-javascript-developer-lodz,HTD,70,b2b,mid,True,True,JavaScript Developer,"Brukowa 12, Łódź",7 000 - 10 000 PLN net/month,"[{'JavaScript (ES6+)': 'advanced'}, {'React': 'regular'}]","<span><div><br></div><div><strong>Requirements</strong></div><div><br>Must have:</div><ul><li>At least <strong>2 years </strong>experience in Javascript, with knowledge of at least one framework such as React or AngularJS</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+)<br><br></li></ul><div>Nice to have:</div><ul><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 5800 - 8600 PLN gross<br>             B2B: 7000 - 10000 PLN net + VAT</div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us on Facebook</a> to stay in touch!</div></span>"
https://justjoin.it/offers/htd-flutter-mobile-developer,HTD,70,b2b,mid,True,True,Flutter Developer,"Brukowa 12, Łódź",7 000 - 10 000 PLN net/month,"[{'Flutter': 'regular'}, {'JavaScript': 'regular'}, {'Dart': 'regular'}]","<span><div><strong>Requirements</strong></div><div><br>Must have:</div><ul><li>At least <strong>2 years of commercial </strong>experience, with knowledge of at least one programming language</li><li><strong>6+ months</strong> experience in Flutter or other mobile application stacks (React Native, Android or iOS)</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+)<br><br></li></ul><div>Nice to have:</div><ul><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 5800 - 8600 PLN gross<br>             B2B: 7000 - 10000 PLN net + VAT</div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us on Facebook</a> to stay in touch!</div><div><br></div><div><br></div></span>"
https://justjoin.it/offers/htd-ruby-on-rails-developer,HTD,70,b2b,mid,True,True,Ruby on Rails Developer,"Brukowa 12, Łódź",7 000 - 10 000 PLN net/month,"[{'Ruby': 'advanced'}, {'Rails': 'regular'}, {'SQL': 'regular'}]","<span><div><strong>Requirements</strong></div><div><br>Must have:</div><ul><li>At least <strong>2 years </strong>of commercial experience, with knowledge of at least one language (Ruby, Python, Java, C# or JavaScript)</li><li>At least 1-year experience in Rails framework</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+)<br><br></li></ul><div>Nice to have:</div><ul><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 5800 - 8600 PLN gross<br>             B2B: 7000 - 10000 PLN net + VAT</div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us on Facebook</a> to stay in touch!</div><div><br></div></span>"
https://justjoin.it/offers/htd-senior-javascript-developer-lodz,HTD,70,b2b,senior,True,True,Senior JavaScript Developer,"Brukowa 12, Łódź",11 000 - 17 000 PLN net/month,"[{'JavaScript (ES6+)': 'master'}, {'React': 'advanced'}, {'Git': 'advanced'}, {'Node.js': 'regular'}]","<span><div><strong>Requirements</strong></div><div><br>Must have:</div><ul><li>At least <strong>5 years </strong>experience in Javascript, with knowledge of at least one framework such as React or AngularJS</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+/C1)<br><br></li></ul><div>Nice to have:</div><ul><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 9000 - 14000 PLN gross<br>             B2B: 11000 - 17000 PLN net + VAT</div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us on Facebook</a> to stay in touch!</div><div><br></div></span>"
https://justjoin.it/offers/htd-senior-ruby-on-rails-developer,HTD,70,b2b,senior,True,True,Senior Ruby on Rails Developer,"Brukowa 12, Łódź",11 000 - 17 000 PLN net/month,"[{'Ruby': 'master'}, {'Rails': 'advanced'}, {'SQL': 'advanced'}, {'Git': 'advanced'}, {'JavaScript': 'regular'}]","<span><div><strong>Requirements</strong></div><div><br>Must have:</div><ul><li>At least <strong>5 years </strong>of commercial experience, with knowledge of at least one language (Ruby, Python, Java, C# or JavaScript)</li><li>At least <strong>2 years</strong> experience in Rails framework</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+/C1)<br><br></li></ul><div>Nice to have:</div><ul><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 9000 - 14000 PLN gross<br>             B2B: 11000 - 17000 PLN net + VAT</div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us on Facebook</a> to stay in touch!</div><div><br></div></span>"
https://justjoin.it/offers/htd-senior-python-developer-lodz,HTD,70,b2b,senior,True,True,Senior Python Developer,"Brukowa 12, Łódź",11 000 - 17 000 PLN net/month,"[{'Python': 'master'}, {'English': 'advanced'}, {'SQL': 'regular'}, {'Django': 'regular'}, {'Flask': 'regular'}, {'SQLAlchemy': 'regular'}]","<span><div><strong>Requirements<br><br></strong>Must have:</div><ul><li>At least <strong>5 years</strong> experience in Python, with knowledge of at least one Python web framework such as Django or Flask</li><li>Demonstrated use of best practices</li><li>Good communication skills in English (B2+/C1)<br><br></li></ul><div>Nice to have:</div><ul><li>Basic understanding of front-end technologies</li><li>Interest in new technologies</li><li>Unit test and debugging skills</li></ul><div><strong><br></strong><br></div><div>When you join us we provide you with means to grow and we expect you to be continuously becoming better at:<br><br></div><ul><li>delivering readable, maintainable software covered with automated tests</li><li>communicating effectively with other team members and clients</li><li>English speaking and writing</li><li>sharing your knowledge including contributing to open source, writing blog posts, taking active part in workshops and hackathons we organize</li></ul><div><br></div><div><strong>Your perks</strong><br><br></div><ul><li><strong>Our unique culture</strong> - a mix of professionalism, good development processes and relaxed atmosphere that assumes freedom and accountability</li><li><strong>Fast-paced career path -</strong> We are one of the fastest growing software houses in Poland with opportunities for you to step up, become a leader and impact the company.</li><li>Support for continuous development. <strong>Growth budget</strong> (certification, conferences, courses and others)</li><li><strong>A+ office</strong> that includes coworking space with spots where you can crush with your laptop, open kitchen, standing desks, teleconference equipment, etc. </li><li>English classes with a <strong>native speaker</strong></li><li>Flexible working hours, partially <strong>remote work available</strong> (2 days a week from day one)</li><li><strong>Private medical care</strong></li><li>Multisport Plus member card, cinema tickets</li><li>5 000 PLN yearly <strong>education budget</strong></li><li><strong>25 paid days off</strong></li><li>Salary range:</li></ul><div>             UoP: 9000 - 14000 PLN gross<br>             B2B: 11000 - 17000 PLN net + VAT</div><div><br></div><div>Not ready to apply? <a href=""https://www.facebook.com/HealthTechDevelopers/"">Follow us at Facebook</a> to stay in touch!</div></span>"
