,offer_link,offer_title,company_name,company_size,empoyment_type,experience_lvl,salary,place,tech_stack,direct_apply,company_page,offer_description_list
0,https://justjoin.it/offers/devire-net-developer-warszawa,.NET Developer,Devire,<200,b2b,mid,17 000 - 20 000 PLN net/month,"Aleje Jerozolimskie 94, Warszawa","[{'.NET C#': 'advanced'}, {'WebService': 'advanced'}, {'Microsoft Visual Studio': 'regular'}, {'GIT / SVN': 'regular'}, {'windows services': 'regular'}, {'MS SQL Server': 'regular'}, {'AngularJS': 'regular'}, {'TypeScript': 'regular'}, {'Redis': 'junior'}, {'NUnit': 'junior'}]",http://devire.pl/,True,"Our Client is a company operating in the public transport sector who is creating a system responsible for collecting real-time data from public transport vehicles and providing this information to passengers and system operators.

We are looking for .NET Developer who want to be part of a team that creates solutions that collect and present data in real time, like to deal with performance problems, as well as design and implement new components / services.

Technical requirements:
Very good knowledge of C# .NET 4.5+
Experience in creating and maintaining Web Services / Windows Services
Ability to write unit tests (Nunit)
Ability to write complex SQL queries (knowledge of MS SQL is advantage)
Ability to work with Visual Studio 2015-2017
Knowledge of GIT or SVN
Ability to design new components / services (easily testable / easy to maintain and possible further development)
Automation of manual work (automatic building and running unit tests, automation of integration tests, tools supporting manual tests)
Good knowledge of English

Additional skills:
.NET Core
Databases: MS SQL, Redis
Backend technologies: Masstransit (RabbitMQ), ReactiveExtensions, Topshelf, Entity Framework, WebAPI, WebSockets
Frontend technologies: AngularJS, HTML5, CSS
Tools: Jira, Bamboo, Confluence, Crucible, Resharper
Other: machine learning

We offer:
B2B contract
Work in the Scrum / Agile methodology"
1,https://justjoin.it/offers/xtb-analityk-biznesowy,Analityk Biznesowy,XTB,250+,permanent,mid,6 000 - 9 000 PLN gross/month,"Ogrodowa 58, Warszawa","[{'Scrum': 'regular'}, {'JIRA': 'regular'}]",https://www.xtb.com/pl,True,"Poszukujemy osoby na stanowisko Analityka Biznesowego w zespole internetowego serwisu xtb.com.
Rola ta pozwala na realny wpływ na kierunki rozwoju naszej aplikacji. Razem z nami będziesz tworzyć nowe funkcjonalności i usprawniać istniejące elementy systemu.
Będziesz mieć okazję pracować nad produktem dostępnym na całym świecie, używanym we wszystkich naszych oddziałach.

Praca na tym stanowisku polega między innymi na:
- analizie potrzeb naszych użytkowników
- zbieraniu wymagań od naszych klientów wewnętrznych
- tworzeniu koncepcji nowych rozwiązań i usprawnień do istniejących funkcjonalności
- codziennej pracy z zespołem programistycznym
- współpracy z zespołami UX i Design
- współpracy z Product Ownerem, ustalanie priorytetów i kierunków rozwoju
- wspierania projektu w podejściu agile, optymalizacja procesów

Wymagania:
- komunikatywność, łatwość w prezentowaniu złożonych procesów i koncepcji
- umiejętność dokumentowania procesów
- skrupulatność
- umiejętność zarządzania własnym czasem
- elastyczność i podejście oparte na efektywnej współpracy
- rozumienie procesu rozwoju oprogramowania i metodyki scrum
- pasja rozwiązywania problemów i krytycznego myślenia
- prawdziwa pasja do technologii, innowacji i aplikacji mobilnych
- dodatkowym atutem byłoby zaplecze techniczne (studia pokrewne z IT)"
2,https://justjoin.it/offers/devire-java-developer-52d62171-5c3d-4dd6-b28c-ded69fe5f278,Java Developer,Devire,<200,b2b,mid,15 000 - 19 000 PLN net/month,"Aleje Jerozolimskie 94, Warszawa","[{'java 9': 'advanced'}, {'Spring': 'regular'}, {'Hibernate': 'regular'}, {'JavaScript / TypeScript': 'regular'}, {'PostgreSQL': 'regular'}, {'Angular': 'junior'}, {'REST': 'junior'}, {'Apache Kafka': 'nice to have'}, {'Docker': 'nice to have'}, {'Kubernetes': 'nice to have'}]",http://devire.pl/,True,"Our Client is a company operating in the public transport sector who is creating a system responsible for collecting real-time data from public transport vehicles and providing this information to passengers and system operators.

In order to strengthen our clients team we are looking for an Java Developer

Qualifications and Education Requirement
At least 3 years of experience in a similar position
Love to work in team and to collaborate with others
Passion and interest in ensuring quality of what the team delivers
Strong technical and design skills and the ability to learn new technologies quickly
Bachelor’s / Master’s degree in Computer Science or equivalent experience
Very good English skills

Technology stack:
Java >9 (client already use 13)
Spring Framework/ Spring Boot/ Spring Data/ Spring Security
Hibernate
JavaScript / TypeScript
Angular
REST
PostgreSQL

Nice to have competencies:
Apache Kafka, Docker, Kubernetes, Rancher, DevOps, Continuous Delivey
Atlassian products portfolio (JIRA, Bamboo, Confluence etc)
Use of Test-Driven development methodologies

Our client offers
Direct impact on business and development
Flexible working time
Private healthcare and multisport card
Work in an international environment in nice and friendly atmosphere
Some travel may be expected to clients development sites in Norway and Finland"
3,https://justjoin.it/offers/trmew-obrot-s-a-big-data-administrator,Big Data Administrator,TRMEW Obrót S.A.,<80,permanent,mid,8 000 - 13 000 PLN gross/month,"Rydygiera 8, Warszawa","[{'Bash': 'regular'}, {'Linux': 'regular'}, {'Docker': 'regular'}, {'Python': 'junior'}, {'Kubernetes': 'nice to have'}, {'Cassandra': 'nice to have'}, {'Airflow': 'nice to have'}, {'Apache Kafka': 'nice to have'}]",http://trmewobrot.pl/,True,"TRMEW Obrót S.A. jest obecnie jednym z największych niezależnych podmiotów na rynku energii elektrycznej w Polsce. Współpracujemy z najliczniejszą grupą wytwórców produkujących energię z odnawialnych źródeł. Działalność naszej spółki skupia się na wielu dziedzinach – od handlu hurtowego energią, prawami majątkowymi czy gwarancjami pochodzenia, po sprzedaż energii do odbiorców końcowych oraz kompleksowe rozwiązania dla firm w zakresie instalacji kogeneracyjnych, opartych o gaz ziemny, LNG oraz biogaz.
 Do naszego Biura Rozwoju IT poszukujemy Big Data Administratora:

Twoje zadania:
administrowanie, monitoring oraz wsparcie rozwoju platformy analitycznej przetwarzającej dużej ilości danych
wprowadzanie nowych technik pracy z danymi (m. in. data streaming, real-time processing, konteneryzacja, automatyzacja)
administrowanie, kopie bezpieczeństwa, zabezpieczenie klastrów serwerów Linux w chmurze
zespołowe podejmowanie decyzji dotyczących architektury budowanych rozwiązań

Kogo szukamy:
absolwentów studiów kierunków ścisłych takich jak: informatyka, matematyka, statystyka oraz pochodne
minimum 1 rok doświadczenia zawodowego w administrowaniu narzędziami przetwarzającymi duże zbiory danych
bardzo dobra znajomość języka skryptowego Bash
podstawowa znajomość języka programowania Python
znajomość co najmniej dwóch narzędzi Apache (Airflow, Cassandra, Flink, Hadoop, Kafka, Spark, itp.)
znajomość narzędzi Git, Jira, Docker, Kubernetes
bardzo dobra znajomość języka angielskiego
mile widziane: zainteresowanie tradingiem, analizą dużych zbiorów danych

Co możemy Ci zaoferować:
wynagrodzenie od 8 000 do 13 000 zł brutto
realny wpływ na projekt oraz pracę w zespole tworzącym infrastrukturę Big Data w wybranych przez siebie technologiach
pracę w dynamicznie rozwijającej się organizacji
wygodne stanowisko pracy z nowym sprzętem i czterema monitorami
pracę z pasjonatami w swojej dziedzinie
prywatną opiekę medyczną
catering, owoce w biurze
możliwość gry w firmowych zespołach sportowych
swobodną atmosferę pracy w nowoczesnym biurze na Żoliborzu
możliwość pracy zdalnej (1-2 dni w tygodniu)"
4,https://justjoin.it/offers/neptune-ai-senior-frontend-engineer,Senior Frontend Engineer,neptune.ai,10-23,b2b,senior,12 000 - 18 000 PLN net/month,"Krańcowa 5, Warszawa","[{'JavaScript': 'master'}, {'ReactJS': 'advanced'}, {'Redux': 'advanced'}, {'HTML5': 'advanced'}, {'CSS3': 'advanced'}, {'TypeScript': 'regular'}, {'SlateJS': 'nice to have'}, {'RxJS': 'nice to have'}]",https://neptune.ai/,True,"Neptune.ai is one of the most ambitious startups in Europe. Our goal is to become the collaboration standard for data scientists (like GitHub/GitLab). We believe that machine learning/AI is the type of technology that has the potential to change the world and we want to be a part of it!

Some of the things we do are fairly run-of-the-mill engineering work (REST, SQL, NoSQL), but often we do something quite rare! How many companies have implemented a fully-featured GoogleDocs-like real-time collaborative editor? Or a custom autoscaler for an in-cloud Kubernetes cluster?

We’re always hungry for more knowledge and constantly striving to be better.

Interested?

Responsibilities
As part of our team, you will:

develop beautiful and highly usable UI components.
cooperate closely with Product Manager, UX Designer and Backend engineers while iterating on new features. We promote short feedback loop and value everyone’s opinion.
improve the overall user experience of our product by increasing the quality of the frontend.
teach other developers and share your experience. We want to learn from each other.
participate in choosing the tools we use. We’ll lean on your knowledge and expertise to select technologies.
participate in defining our application’s architecture.

Our expectations

You’re always hungry for more knowledge – learning new things is natural for you, you do it constantly.
You are proficient in JavaScript and have solid experience with large scale single page applications.
You have a broad knowledge of the general web landscape, architectures, trends, and emerging technologies.
You have experience with TypeScript.
You have practical knowledge of ReactJS and Redux or other state management system / library.
You know how to build reusable and composable UI components.
You know how to break down UX/UI design into UI components and/or decide which existing component perfectly fits the design.
You can understand the code on the libraries’ level.
You do not stop debugging code when you enter libraries code.
You point out mistakes at both: UX/UI design and the system architecture design level.
You perform an excellent code review.
Knowledge of Machine Learning concepts would be awesome!"
5,https://justjoin.it/offers/margo-full-stack-net-angular-developer-warszawa,Full-stack (.NET + Angular) Developer,Margo,300+,b2b,mid,16 000 - 20 000 PLN net/month,"ul. Prosta 20, Warszawa","[{'.NET C#': 'regular'}, {'ASP.NET MVC': 'regular'}, {'MsSQL': 'regular'}, {'Angular': 'junior'}, {'TeamCity': 'nice to have'}, {'.NET Core': 'nice to have'}, {'REST API': 'nice to have'}, {'RabbitMQ': 'nice to have'}, {'MSBuild': 'nice to have'}, {'Powershell': 'nice to have'}]",https://justjoin.it/brands/story/margo-dbedb6cb-af28-4404-a2b8-d8bf2b619b07,True,"Full-stack (.NET + Angular) Developer
  Kontekst:
 Zespoły będą rozwijać 6 aplikacji wewnętrznych banku, służących do obsługi klientów korporacyjnych z obrotem przekraczającym 50mln PLN rocznie (m.in. wydawanie i obsługa kart korporacyjnych, flow procesu do zakładania rachunków, system ECM itd.),
Będzie rozwijany CRM korporacyjny
Będą rozwijane aplikacje wspomagające kredytowanie przedsiębiorstw (wnioski, scoring, ryzyko, ustanawianie i monitoring zabezpieczeń)
Developerzy będą brali udział w całym cyklu wytwarzania oprogramowania, zgodnie z najlepszymi praktykami
80% czasu pracy to rozwój, a 20% utrzymanie systemów
Przez ostatnie 2 lata bank bardzo dużo zainwestował w automatyzację procesów i zestaw nowoczesnych płatnych narzędzi np. ma miejsce bieżąca analiza kodu i działania aplikacji w czasie rzeczywistym (m.in. SonarQube czy Splunk)
Bank może się pochwalić najlepiej zautomatyzowanym procesem deploymentu na rynku (m.in. testy automatyczne, jednostkowe itp.)
W zespołach są plany wprowadzenia m.in. chmury i sztucznej inteligencji
Praca zdalna – po okresie wdrożenia 1 dzień tygodniowo + indywidualne przypadki
W Departamencie panuje bardzo dobra atmosfera pracy potwierdzona „powrotami” części programistów po kilku kwartałach spędzonych w innych firmach

Jako członek zespołu, będziesz odpowiedzialny za:
 Projektowanie, wdrażanie i utrzymywanie rozwiązań z zakresu backend i frontend, integracji między aplikacjami oraz automatyzacji procesów CI/CD
Przygotowywanie koncepcji rozwiązań architektonicznych
Usprawnianie aktualnie istniejących rozwiązań
Dokumentowanie prac programistycznych
 Stanowisko jest dla Ciebie idealne, jeżeli:
 Masz kilkuletnie doświadczenie w pracy z technologią .NET
Znasz technologię Angular (lub chciałbyś się jej nauczyć)
Umiesz testować modułowo i automatyzować testy
Znasz metodyki analizy wymagań użytkownika
Znasz metodyki projektowania systemów.
Masz doświadczenie z technologiami: .ASP.NET MVC, SQL, HTML 5
Znasz MSSQL, Visual Studio, GIT, JIRA, Ant, MSBuild, TeamCity, Powershell
Masz doświadczenie w pracy metodyką Agile
 Byłoby idealnie gdybyś:
 Znał .NET Core
Miał doświadczenie w realizacji interfejsów z wykorzystaniem systemów kolejkowych
Znał interfejsy REST API
 Dołączając do Margo możesz liczyć na:
 Ambitne projekty w międzynarodowej firmie konsultingowej
Umowę o pracę bądź współpracę w oparciu o model B2B
Benefity takie jak: opieka medyczna i karta sportowa
Dofinansowanie szkoleń, egzaminów certyfikacyjnych, studiów podyplomowych
Szkolenia wewnętrzne i możliwość korzystania z naszego know-how
Możliwość darmowego korzystania z naszej biblioteki
Indywidualne podejście i możliwości rozwoju (planowanie ścieżki kariery, możliwość zmiany projektu i stanowiska, możliwość angażowania się w działania pozaprojektowe z dodatkowym wynagrodzeniem)
Możliwość wpływu na kształt firmy, otwartość na Twoje pomysły i chęć ich wdrażania
Bardzo dobrą atmosferę pracy, wyjścia integracyjne"
6,https://justjoin.it/offers/margo-fullstack-java-angular-developer,Fullstack (Java + Angular) Developer,Margo,300+,b2b,mid,16 500 - 21 500 PLN net/month,"ul. Prosta 20, Warszawa","[{'Java': 'regular'}, {'Angular': 'regular'}, {'Spring': 'regular'}, {'SQL': 'regular'}, {'PL/SQL': 'regular'}]",https://justjoin.it/brands/story/margo-dbedb6cb-af28-4404-a2b8-d8bf2b619b07,True,"Lubisz mieć wpływ nie tylko na to jak działa aplikacja, ale również na to jak się prezentuje dla użytkownika? Znasz Java’ę oraz Angular’a? Dołącz do Margo!


Kontekst:
Dołączając do zespołu będziesz miał/miała możliwość rozwijania aplikacji przeznaczonej dla użytkowników instytucji finansowej, która jest liderem na rynku pod względem usług oferowanych przez Internet i mobilnie.

Będziesz mógł/mogła współpracować z doświadczonymi programistami. Możesz liczyć także na różnorodne zadania, które dobierane będą na podstawie Twoich kompetencji oraz preferencji oraz na możliwość przedstawienia swoich pomysłów - te dobre zawsze mają szansę na realizację!

Będziesz pracował/pracowała zwinnie, korzystając m.in. z najlepszych praktyk Scruma oraz wykorzystywał/wykorzystywała nowoczesną infrastrukturę IT opartą na produktach takich firm jak m.in.: Microsoft, Emc, NetApp, Hitachi, Oracle, IBM, Cisco.


Jako członek zespołu, będziesz odpowiedzialny/odpowiedzialna za:
Rozwój systemu korporacyjnej bankowości internetowej
Udział w projektach dostosowywania systemu do wymogów dyrektyw UE (split payment, psd2), oraz innych projektach rozwojowych
Wykonywanie code review, pisanie testów jednostkowych, dokumentowanie


Stanowisko jest dla Ciebie idealne, jeżeli:
Masz doświadczenie w realizacji projektów Java/JEE
Znasz: Spring, EJB, JSP, SOAP/REST oraz HTML 5, CSS3, JavaScript, jQuery, Angular (najlepiej w wersji 4)
Orientujesz się w działaniu serwerów aplikacyjnych w środowisku javowym (JBossEAP/WildFly)
Pracowałeś/pracowałaś z relacyjnymi bazami danych SQL (np. Oracle)
Korzystałeś/korzystałaś z systemu kontroli wersji Git (Gitlab/BitBucket)
Masz doświadczenie w używaniu Ant, Maven, Gradle, NodeJS


Dołączając do Margo możesz liczyć na:
Ambitne projekty w sektorze finansowym
Umowę o pracę bądź współpracę w oparciu o model B2B
Benefity takie jak: opieka medyczna i karta sportowa
Dofinansowanie szkoleń, egzaminów certyfikacyjnych, studiów podyplomowych
Szkolenia wewnętrzne i możliwość korzystania z naszego know-how
Możliwość darmowego korzystania z naszej biblioteki
Indywidualne podejście i możliwości rozwoju (planowanie ścieżki kariery, możliwość zmiany projektu i stanowiska, możliwość angażowania się w działania pozaprojektowe z dodatkowym wynagrodzeniem)
Możliwość wpływu na kształt firmy, otwartość na Twoje pomysły i chęć ich wdrażania
Bardzo dobrą atmosferę pracy, wyjścia integracyjne.

Zainteresowany/zainteresowana? Zmotywowany/zmotywowana? Aplikuj!"
7,https://justjoin.it/offers/cloud-best-sp-z-o-o-front-end-developer-react-mid,Front-end Developer React (MID),Cloud Best sp. z o.o.,80,b2b,mid,12 000 - 18 000 PLN net/month,"Wioślarska 8, Warszawa",[{'React': 'regular'}],https://www.minebest.com/,True,"Wyzwania dla Ciebie:

Rozwój oraz utrzymanie części związanej z projektami mobilnymi;
Ścisła współpraca z programistami backend oraz testerami;
Uczestnictwo w projektach realizowanych zgodnie z obowiązującymi trendami;
Realizacja zadań zgodnie z planem Sprintów;
Dbanie o jakość tworzonego kodu zgodnie z obowiązującymi standardami;

 Jeśli jesteś osobą która:

Posiada co najmniej 1rok doświadczenia z React-Native oraz 2 lata z React;
Bardzo dobrze zna React, Reduce, Vanilla JS;
Zna TypeScript; Redux-Saga; Reselect;
Posługuje się językiem angielskim w stopniu co najmniej komunikatywnym;
Dobrze organizuje swoją pracę;
Potrafi skutecznie działać pod presją czasu.
 

Dołączając do naszego zespołu możesz liczyć na:

Rozwój osobisty i zdobycie doświadczenia w prężnie rozwijającym się start-upie;
Zespół entuzjastów, który z sukcesem tworzy firmę w najszybciej rozwijającej się branży blockchain;
Atrakcyjną lokalizację biura przy ul. Wioślarskiej 8 oraz pracę w środowisku międzynarodowym;
Świetną atmosferę oraz atrakcyjne warunki zatrudnienia;
Prywatną opiekę medyczną oraz kartę multisport;
Wyjazdy integracyjne oraz imprezy firmowe;
Pyszny tort na Twoje urodziny;
Świeżo wyciskany sok;
Masaż w miejscu pracy;
Parking organizowany przez pracodawcę;
Elastyczne godziny pracy."
8,https://justjoin.it/offers/cloud-best-sp-z-o-o-database-developer,Database Developer,Cloud Best sp. z o.o.,80,permanent,mid,10 000 - 15 000 PLN gross/month,"Wioślarska 8, Warszawa","[{'PostgreSQL': 'advanced'}, {'SQL': 'advanced'}]",https://www.minebest.com/,True,"Dołącz do naszego zespołu i rozwijaj się w międzynarodowych strukturach jako:

DATABASE DEVELOPER

Lokalizacja: Warszawa, ul. Wioślarska 8

Jeśli jesteś osobą która:

Jest znużona monotonią i powtarzalnością w obecnym życiu i chciałaby coś zmienić;
Jest proaktywna, szuka niesztampowych rozwiązań i lubi tworzyć nowe rzeczy;
Lubi młode, nowoczesne środowisko pracy o kulturze start-upowej;
Jest nastawiona na pracę zespołową i lubi pracę w dynamicznie zmieniającym się środowisku.

a Twój profil zawodowy jest bliski poniższym umiejętnościom,

Biegła znajomość baz relacyjnych: PostgreSQL;
Znajomość nierelacyjnych baz danych;
Znajomość zagadnień wydajności i optymalizacji środowisk SQL;
Wiedza w zakresie optymalizacji zapytań SQL i architektury bazodanowej;
Biegła znajomość Excela;
Swobodna znajomość  języka angielskiego w mowie i piśmie, co najmniej poziom B2;
Min. 3- letnie doświadczenie na podobnym stanowisku;
Umiejętność skutecznej pracy pod presją czasu;
Zdolności komunikacyjne i nastawienie na sukces.
 to właśnie Ciebie szukamy!
 

Dołącz do naszego zespołu i daj sobie szansę na:

Rozwój osobisty i zdobycie doświadczenia w prężnie rozwijającej się firmie w międzynarodowym środowisku;
Pracę z zespołem entuzjastów, który z sukcesem tworzy firmę w najszybciej  rozwijającej się branży blockchain;  
Świetną atmosferę oraz atrakcyjne warunki zatrudnienia przy start-upowej kulturze organizacyjnej;
Pracę w nowoczesnym, atrakcyjnym biurowcu przy ulicy Wioślarskiej 8;
Prywatną opiekę medyczną;
Wyjazdy integracyjne oraz imprezy firmowe;
Celebrowanie Twoich urodzin;
Świeżo wyciskany sok 100%;
Masaże w miejscu pracy;
Nauka języka w miejscu pracy;
Parking finansowany przez pracodawcę;
Elastyczne godziny pracy.

 

Wyzwania dla Ciebie:

Tworzenie i modyfikacja raportów;
Praca z bazami danych;
Analiza konfiguracji środowisk bazodanowych pod kątem wydajności;
Analiza istniejących rozwiązań;
Ścisła współpraca z analitykami biznesowymi;
Przygotowywanie dokumentacji tworzonych rozwiązań."
9,https://justjoin.it/offers/altalog-senior-python-engineer,Senior Python Engineer,Altalog,12-15,b2b,senior,16 000 - 21 000 PLN net/month,"al. Stanów Zjednoczonych 61a, Warszawa","[{'Computer science': 'advanced'}, {'Python': 'advanced'}, {'Testing': 'advanced'}, {'SQL': 'regular'}, {'Docker': 'nice to have'}]",http://altalog.pl/,True,"We are a team of creative software engineers coming from one of the best faculties of computer science in Europe. With the experience acquired working for the biggest software companies we are able to deliver comprehensive solutions in the field of distributed systems and machine learning. Our portfolio contains projects involving decision-making rule engines, recommender systems, scoring engines and IoT platform.

Requirements (the more you satisfy the better):

Experience with one or more general purpose programming languages including but not limited to: Python, Java, C/C++;
Experience with SQL databases (PostgreSQL, MySQL);
Willingness to write unit tests;
Appreciation of high code coverage;
Preference of clean code over your own convenience; 
English language (communicative level);
Eagerness to stay with us for longer than a year;
Ability to split your tasks into smaller pieces;
A degree in Computer Science, similar technical field of study or equivalent practical experience.

Non-mandatory additional skills (the more you satisfy the better):

Knowledge about Docker and Ansible;
Knowledge of any NoSQL database (MongoDB/Redis preferably);
Experience with Python (3.x);
Knowledge of any Python web framework (Django/Flask or other);
Experience with Java;
Experience with Compute Cloud (AWS/GCP/Azure);
Experience with CI/CD (Gitlab/Jenkins).

What you will do:

Implement code in Python and/or Java;
Develop, maintain and deploy the back end code of micro services;
Ensure quality of code;
Design architecture of multiple systems;
Analyse requirements;
Deploy new releases of the system to production;
Create systems health check rules;
Create CI/CD pipelines; 
Fix reported issues with systems;
Perform code reviews and mentor younger engineers;
Create and maintain documentation.

What we offer:

B2B or permanent employment;
Elastic working hours;
Real influence on the product;
Possibility to buy Multisport/Medicover packages;
Good work atmosphere;
Challenges."
