,offer_link,offer_title,company_name,company_size,empoyment_type,experience_lvl,salary,place,tech_stack,direct_apply,company_page,offer_description_list
0,https://justjoin.it/offers/cybersecurity-studio-sp-z-o-o-backend-developer,Backend Developer,Cybersecurity Studio sp. z o.o.,<10,b2b,mid,10 000 - 15 000 PLN net/month,"Gdańska 2, Warszawa","[{'.Net': 'regular'}, {'ELK Stack': 'regular'}, {'C#': 'regular'}]",http://www.cyberstudio.systems/,True,"Cybersecurity.studio to przede wszystkim zespół entuzjastów nowoczesnych technologii, cyberbezpieczeństwa oraz komfortowej i przyjaznej atmosfery pracy. Razem tworzymy innowacyjne rozwiązania w obszarze bezpieczeństwa IT będące odpowiedzią na potrzeby rynków europejskich, afrykańskich oraz azjatyckich.

W związku z rosnącą potrzebą rozbudowy wewnętrznych kompetencji poszukujemy osób, które są kreatywne, zaangażowane i jednocześnie cenią sobie elastyczną charakterystykę pracy. Jeśli dodatkowo:

posiadasz powyżej 3 lat doświadczenia w budowaniu aplikacji WEB’owych w technologiach PostgreSQL, MSSQL, ElasticSearch, .NET Core, RedisCache.
posiadasz doświadczenie w budowaniu kolektorów danych w oparciu o PowerShell, Bash, Python, Syslog, Beats.

a być może nawet:

rozwijasz swoje zainteresowania w kierunku tematyki bezpieczeństwa IT,
masz doświadczenie z rozwiązaniami chmurowymi Azure, Docker, Kubernetes.

Twoje zadania:

Tworzenie nowych oraz rozwój obecnych mikroserwisów napisanych w .NET,
Optymalne dzielenie odpowiedzialności systemu na mikroserwisy,
Zapewnienie warstwy uwierzytelnienia i autoryzacji (API gateway, JWT),
Zapewnienie przepływu zdarzeń między serwisami (RabbitMQ).

Czekamy właśnie na Ciebie!

Poza atrakcyjnym wynagrodzeniem i możliwością pracy w jednej z najbardziej dynamicznych branż możemy zachęcić Cię bogatym systemem motywacyjnym, wśród którego znajdują się benefity takie jak np.:

Formę zatrudnienia zgodną z preferencjami
Możliwość rozwoju kwalifikacji poprzez udział w konferencjach branżowych oraz szkoleniach
Pakiet opieki medycznej
Świetna lokalizacja biura – tuż przy metrze Marymont
Elastyczne godziny pracy oraz dzień w tygodniu homeoffice"
1,https://justjoin.it/offers/sunscrapers-sp-z-o-o-python-developer-752e02f1-fe7e-4dcb-8939-79a8632620e7,Backend Engineer,Sunscrapers Sp. z o. o.,40-45,b2b,mid,8 000 - 16 000 PLN net/month,"Pokorna 2/947, Warszawa","[{'Python': 'advanced'}, {'Django': 'advanced'}, {'Git': 'regular'}, {'PostgreSQL': 'regular'}]",https://sunscrapers.com/,True,"Are you ready to take the challenge?

We’re looking for Python developer to join our team in Warsaw or remotely. 

At sunscrapers we create mobile and web apps for clients around the globe.
We love contributing to Open Source projects, here are some of them: https://github.com/sunscrapers. We’re also huge fans of knowledge sharing, that’s we we co-organize the biggest Python Meetup in Warsaw - PyWaw. 

Joining sunscrapers means working with the best tools and modern frameworks (We score 11/12 in Joel's Test!). In the role of Python Developer you’ll help create and build beautiful apps using:

Technologies: Django, DRF, PostgreSQL, Redis, asyncio, Flask.
Tools: Git, Docker, Ansible, pytest, pipenv.
Best Practices: Continuous Integration, TDD, Scrum, Code Reviews.

The ideal candidate will be organized, positive, driven and a team player!

Your responsibilities will include:

Developing complex web applications and APIs
Writing clean and well-covered code
Taking part in the Scrum routine and quality assurance processes
Developing good programming practices within the company

What’s important for us?

At least 2 years experience with programming in Python
Very good knowledge of Django and PostgreSQL
Experience with Git version control systems
Unix-like operating system as the primary work environment
Ability to solve technical problems independently
Effective communication with clients and teammates
Self-reliance and ‘get things done’ approach
Fluent command in spoken and written English

You will score extra points for:

Knowledge of Redis, Memcached, Elasticsearch
Knowledge of any modern JavaScript frameworks
Experience with NoSQL solutions
Experience with leading projects
Contributions to open source software projects
Active participation in the community
Dev-ops skills and knowledge of Ansible or Docker 
AWS, OpenStack
Knowledge basics of Agile/Scrum
Being a team player

What do we offer?

Working alongside a talented team that’s changing the image of Poland abroad
Culture of teamwork, professional development and knowledge sharing (https://www.youtube.com/user/sunscraperscom) 
Flexible working hours and remote work possibility
In-house workshops and tech talks
Comfortable office in a penthouse in central Warsaw equipped with all the necessary tools to conquer the universe (Macbook Pro, external screen, ergonomic chairs)
Fully equipped kitchen with fruit, hot and cold drinks.
Budget for events and conferences
Working in a company that cares about employees’ development.
Free access to the best tools and softwares to develop your skills and work effectively (JetBrains IDEs, egghead, Adobe Creative Clouds and any other you need)
Culture of good feedback: code reviews, evaluation meetings, mentoring.

Sounds like a perfect place for you? Don’t hesitate  to click apply and submit your application today! 

Check our place: fb /instagram"
2,https://justjoin.it/offers/el-passion-junior-android-developer-warszawa,Junior Android Developer,EL Passion,50+,b2b,junior,3 000 - 5 800 PLN net/month,"Plac Europejski 2, Warszawa","[{'Java': 'junior'}, {'Git': 'junior'}, {'Android Studio': 'junior'}, {'Android SDK': 'junior'}, {'Kotlin': 'junior'}, {'RxJava': 'nice to have'}]",http://www.elpassion.com/,True,"We are EL Passion, one of the leading software houses in Poland. Our passionate team specializes in designing and developing stunning web, iOS and Android apps for clients all around the world. Among others, we are proud to have supported Wirtualna Polska, GoldenLine, ZnanyLekarz, Estimote, Rightmove and RWE.

Currently, we are looking for a Junior Android Developer to join our team.

We want to offer you the possibility of working with modern frameworks and tools. Join the team that is up-to-date with the latest tech and recognizes the importance of the code quality (daily code reviews, pair programming, continuous integration). Get on board, work with us on a variety of projects and learn from the best developers in Warsaw!

REQUIREMENTS
At least 1 year of experience in developing applications for Android OS
Ability to prove you are passionate about programming and gaining new skills
Coding skills in Kotlin
Experience in using Android SDK:
Basic understanding of layouts and widgets
Knowledge of application components and their lifecycle
Collection views (like RecyclerView) and Adapters
Accommodating different screen sizes and densities
Good working knowledge of REST API
Basic experience with GIT
Good command of English, allowing you to easily communicate with our clients (B2)
Ability to communicate effectively within a team

APPRECIATED
Published app in Google Play store
Familiarity with RxJava or Kotlin Coroutines basics
Eagerness for learning new technologies

BENEFITS
We offer clear and transparent compensation system (you can read all about it here)
Salary range for this role is 3000 - 5800 PLN (net on invoice or gross on task-specific contract)
Practice TDD, write unit and functional tests; CI, CD, pair programming
Work in a proper scrum :) and take part in making key project decisions by working directly work with the client
Work with skilled developers who like to share knowledge, challenge each other and experiment with new stuff
We'll invest in your skills with a 3000 PLN self-growth budget (conferences, trainings, workshops and more).
Access to our resources library - books (paper and digital), courses, tutorials, assets 
Choose whatever you’d like to have on our ""shelf""!
We hold 2-day internal Hackathons in every 3 months (experimenting with different languages, tools, hardware, etc.)
Work in flexible hours and have the possibility to work remotely from time to time
Do you have to move to join us? Our relocation bonus will cover your costs
Enjoy awesome team building events (go-karts, bowling, zip-lining, etc.)
Office in a convenient location with a chill room and well-stocked kitchen (snacks, drinks and fruits)
Multisport, private medical care and more

What’s it really like to work at EL Passion? See our Culture Book and find out what EL Passioners say about the company!

Also check us out on Facebook, Twitter, Instagram, Medium and GitHub."
3,https://justjoin.it/offers/sunscrapers-sp-z-o-o-fullstack-developer,Fullstack Engineer,Sunscrapers Sp. z o. o.,40-45,b2b,mid,8 000 - 16 000 PLN net/month,"Pokorna 2/947, Warszawa","[{'Python': 'advanced'}, {'JavaScript (ES6+)': 'advanced'}, {'PostgreSQL': 'regular'}, {'React': 'regular'}, {'Django': 'regular'}]",https://sunscrapers.com/,True,"Are you ready to take the challenge?

We’re looking for Fullstack Developer to join our team in Warsaw or remotely.

At Sunscrapers we create mobile and web apps for clients around the globe.

We love contributing to Open Source projects, here are some of them: https://github.com/sunscrapers. We’re also huge fans of knowledge sharing, that’s we we co-organize the biggest Python Meetup in Warsaw - PyWaw.

Joining sunscrapers means working with the best tools and modern frameworks (We score 11/12 in Joel's Test!). In the role of Fullstack Developer you’ll help create and build beautiful apps using:
Technologies: Django, DRF, PostgreSQL, Redis, asyncio, Flask, React, PWA (Progressive Web Apps)
Tools: Git, Docker, Ansible, pytest, pipenv, Webpack, Jest, Enzyme
Best Practices: Continuous Integration, TDD, Scrum, Code Reviews

Your responsibilities will include:
Developing complex web applications and APIs
Writing clean and well-covered code
Taking part in the Scrum routine and quality assurance processes
Developing good programming practices within the company

What’s important for us?
Excellent programming skills in Python and JavaScript
Good knowledge of modern JavaScript syntax or TypeScript,
Very good knowledge of Django and PostgreSQL
Good knowledge of React
Experience with configuring projects using Webpack
Experience with Git version control systems
Unix-like operating system as the primary work environment
Ability to solve technical problems independently
Great organisational and communication skills
Self-reliance and ‘get things done’ approach
Fluent command in spoken and written English

You will score extra points for:
Knowledge of Redis, Memcached, Elasticsearch
Experience with NoSQL solutions
Attention to detail, sense of aesthetics
Experience with turning designs into HTML/CSS/SCSS
Experience with leading projects
Experience with designing systems architecture
Contributions to Open Source software projects
Active participation in the community
Dev-ops skills and knowledge of Ansible / Docker / Terraform
Experience with AWS
Knowledge basics of Agile/Scrum
Being a team player

What do we offer?
Working alongside a talented team that’s changing the image of Poland abroad
Culture of teamwork, professional development and knowledge sharing (https://www.youtube.com/user/sunscraperscom)
Flexible working hours and remote work possibility
In-house workshops and tech talks
Comfortable office in a penthouse in central Warsaw equipped with all the necessary tools to conquer the universe (Macbook Pro, external screen, ergonomic chairs)
Fully equipped kitchen with fruit, hot and cold drinks.
Budget for events and conferences
Working in a company that cares about employees’ development.
Free access to the best tools and softwares to develop your skills and work effectively (JetBrains IDEs, egghead, Adobe Creative Clouds and any other you need)
Culture of good feedback: code reviews, evaluation meetings, mentoring.

Sounds like a perfect place for you? Don’t hesitate to click apply and submit your application today!

Check our place: fb /instagram"
4,https://justjoin.it/offers/risenet-sp-z-o-o-junior-php-developer,Junior PHP Developer,Risenet Sp. z o.o.,5 - 10,b2b,junior,3 000 - 6 000 PLN net/month,"Al. Jerozolimskie 123A, Warszawa","[{'HTML5/CSS3': 'advanced'}, {'JavaScript': 'regular'}, {'Git': 'regular'}, {'SASS': 'regular'}, {'PHP 7': 'junior'}, {'Zend Framework': 'junior'}, {'Symfony': 'junior'}]",https://risenet.pl/,True,"Risenet to software house, specjalizujący się w tworzeniu nowoczesnych aplikacji internetowych. Budujemy produkty oraz MVP dla startupów, dostarczamy narzędzia, które pomagają zarządzać biznesem, a także tworzymy strony i sklepy internetowe.
 Szukamy Junior PHP Developera
Lokalizacja: Al. Jerozolimskie 123A Warszawa, Atlas Tower, 19 piętro
 Oczekujemy od Ciebie znajomości:
PHP 7 oraz podstawowej znajomości Zend Framework lub Symfony
Bardzo dobrej znajomości technologii front-endowych (HTML5/CSS3,JavaScript)
Doświadczenia w preprocesorach SASS
Znajomości Mercurial / Git
Dbanie o detale przy tworzeniu stron lub aplikacji webowych na podstawie warstwy graficznej (Hi-Fi)
 Mile widziane:
Znajomość Angular / React
 Będziesz odpowiedzialny za:
Tworzenie nowych stron internetowych i obsługę istniejących
Tworzenie sklepów internetowych na dedykowanym silniku
Wdrażanie prostych modułów do systemów back-endowych
Wdrażanie integracji z nowymi narzędziami
 Wyzwania jakie stawiamy:
Aktywny udział w doborze technologii
Odpowiedzialność za wdrażane rozwiązania
Dbałość o optymalizację oraz szybkość i wydajność tworzonych rozwiązań
 Ofertujemy:
Wygodne biuro w wieżowcu Atlas Tower na 19 piętrze
Krótsze godziny pracy w piątki :)
Pomoc najlepszych programistów przy Twoim rozwoju
Szkolenia i konferencje tematyczne
Stanowisko z dwoma monitorami
Licencję na ulubiony edytor
Stabilne zatrudnienie
 Wynagrodzenie:
Umowa o dzieło lub B2B: 3000 – 6000 zł + VAT
Umowa o pracę: 3000 – 5000 zł brutto"
5,https://justjoin.it/offers/icm-uw-senior-java-developer-architect,Java Senior Developer,ICM UW,100,permanent,senior,15 000 - 19 000 PLN gross/month,"Tyniecka 15/17, Warszawa","[{'Java': 'master'}, {'Spring / JPA / Hibernate': 'advanced'}, {'Software Architecture': 'advanced'}, {'Design Patterns': 'advanced'}, {'Software Development': 'advanced'}, {'PostgreSQL': 'advanced'}, {'Web Development': 'advanced'}, {'JavaScript': 'regular'}, {'Angular': 'regular'}]",http://www.icm.edu.pl/,True,"We’re looking for senior java developers to join our teams working on new web projects.

Requirements:
7+ years of professional software development experience;
very good knowledge of Java 8+, spring framework, JPA;
excellent understanding of software development lifecycle and architecture; 
practical knowledge of software design patterns;
willingness to help less experienced developers to write clean and easy to maintain code;
experience with databases, in particular: PostgreSQL;
good command of Polish and English;

We offer:
full-time job contract;
work on a big new project;
free choice of the latest technologies;
attractive salary based on experience;
13th month salary, summer holiday bonus, private healthcare;
possibility of taking part in IT events and conferences;
work in small teams; quiet and comfortable offices (no open-plan offices);
friendly atmosphere;
working with scrum/ agile methodology;
flexible working hours;"
6,https://justjoin.it/offers/genesismobo-backend-developer-rust-kotlin,"Backend Developer (Rust, Java, C)",GENESISMOBO,30+,b2b,mid,10 000 - 15 000 PLN net/month,"Wróbla 33, Warszawa","[{'Linux': 'regular'}, {'Java': 'regular'}, {'Rust': 'regular'}, {'C': 'junior'}, {'PostgreSQL': 'junior'}, {'Docker': 'junior'}, {'Kotlin': 'nice to have'}]",https://genesismobo.com/,True,"Szukamy Programisty o mocnych umiejętnościach analitycznych, algorytmicznych i zdolności do samodzielnego rozwiązywania zagadnień, który dołączy do niewielkiego, ambitnego i zgranego zespołu rozwijającego własne oprogramowanie, produkty w tym aplikację Time4BUS.
  U nas liczą się chęci do działania - tworzenia, reszta wyjdzie sama.

 Nie jesteśmy software house'em.

 ... jeśli naprawdę lubisz kodować, wyzwania to dla Ciebie czysta przyjemność - szczególnie kiedy się im podoła ;), a luźna, przyjazna atmosfera jest tym czego również szukasz to zachęcamy do zapoznania się z poniższą treścią i jednocześnie zapraszamy do aplikowania. 

GenesisMobo jest firmą w 100% opartą o polski kapitał, posiadającą duże doświadczenie technologiczne i mocne referencje na rynku polskim. Zajmujemy się m.in. projektowaniem oprogramowania i aplikacji mobilnych związanych z branżą transportową, w głównej mierze z transportem publicznym(miejskim). Ponadto jesteśmy firmą projektującą i wytwarzającą urządzenia związane z transmisją danych, lokalizacją pojazdów czy monitoringiem. Jesteśmy dumni z naszego zespołu oraz produktów które stworzyliśmy dla naszych Klientów i Pasażerów. 

Zajmowałbyś się ... generalnie programowaniem naszych silników do aplikacji, niech działają szybko i stabilnie :) a więc będziesz:
przetwarzał dane w czasie rzeczywistym
pracował z dużą ilością danych
tworzył algorytmy dla naszych aplikacji
tworzył API dla pozyskania danych dla aplikacji mobilnych i innych systemów wewnętrznych
tworzył interface'y komunikacyjne między stykami systemów
wspomagał w doborze technologii, architektury systemu
tworzył nowe systemy lub dodawał nowe funkcjonalności do istniejących
utrzymywał dotychczasowe oprogramowanie
pisał testy jednostkowe dla wytworzonego oprogramowania

Dodatkowe informacje:
szukamy osoby z którą chcemy współpracować dłużej, najchętniej ok. 40h/tydzień
wymagane doświadczenie komercyjne jako Programista: 2+ lata (liczy się nie tyle doświadczenie komercyjne ale umiejętności i mocna chęć do nauki i rozwijania się!) 
jeśli nie znasz języka Rust nadal zapraszamy Cię do aplikowania w przypadku gdy masz duże chęci do nauczenia się go w trybie pilnym :)
mile widziane wykształcenie: informatyka/matematyka/fizyka, inne dające podstawę mocnych umiejętności analitycznych, algorytmicznych
angielski na poziomie czytania dokumentacji technicznej, polski na poziomie swobodnego komunikowania się w biurze

Oferujemy:
pracę w zgranym zespole, z zaangażowanymi i utalentowanymi osobami
udział w bardzo ciekawych i innowacyjnych projektach
dobrą lokalizacją biura, które znajduje się 7 min spacerem od stacji metra Służew
zatrudnienie na UoP, B2B (preferowana), wynagrodzenie dopasowane od umiejętności
pomocnych kolegów i koleżanki
przyjazną atmosferę jaką wspólnie tworzymy, zupełny brak powodów do stresu
kawę, herbatę, świeże owoce, słodkości
laptop + 1(2) monitory

Dodatkowo oczekujemy:
chęci do ciągłego rozwijania się!
umiejętności lub aspiracji w obszarze zarządzania zespołem
samodzielności!
dzielenia się wiedzą
zaangażowania w swoją pracę i otwartości
pisania i dokumentowanie kodu tak abyś Ty czy ktoś z zespołu za miesiąc się w nim odnalazł :)

Dotarłeś do końca ogłoszenia! To oznacza że to co robimy może Cię interesować.

Czekają Cię ciekawe zadania i uczestnictwo w tworzeniu nowych produktów, zapraszamy!

Jak aplikować?
Jeśli zrealizowałeś projekty, którymi chcesz się pochwalić, podeślij koniecznie link do swojego repozytorium na Github'ie/GitLab'ie."
7,https://justjoin.it/offers/core3-programista-bigdata,Programista BigData,core3,100+,b2b,mid,8 000 - 16 000 PLN net/month,"Skierniewicka 10a, Warszawa","[{'Java': 'regular'}, {'Python': 'regular'}, {'Hadoop': 'junior'}, {'Cloudera': 'junior'}, {'Scala': 'nice to have'}]",http://core3.pl/,True,"Jesteśmy jedną z nielicznych firm na rynku, które specjalizują się w BigData, a nie świadczą tego typu usługi jako rozszerzenie głównych obszarów działalności.

Z NAMI:
Zdobędziesz doświadczenie współpracując z największymi korporacjami na rynku polskim (pracujemy na rozwiązaniach klasy Enterprise),
Będziesz tworzyć kod w oparciu o najlepsze praktyki rynkowe i  know-how w jaki sposób rozwiązania wpływają na wydajność i jakość działania na środowisku produkcyjnym.
Będziesz działać w różnych obszarach: zarządzanie platformami BigData, strategia i projektowanie platform BI, tworzenie przepływów analitycznych i danych oraz wdrażanie rozwiązań self-service BI (Tableau, PowerBI, Qlik).

Pracujemy na dystrubucjach Hadoop Hortonworks (HDP) oraz Cloudera (CDH) oraz konsekwentnie rozszerzamy zakres kompetencji o rozwiązania chmurowe (Azure, Google, AWS).

WYMAGANIA

Co najmniej 2 lata doświadczenia zawodowego w roli programisty w obszarze BigData i/lub Hurtowni Danych.

OCZEKUJEMY, ŻE:

Posiadasz bardzo dobrą znajomość co najmniej jednego z poniższych języków: Java,Python, Scala,
Chętnie dzielisz się wiedzą i lubisz kontakt z zespołem/Klientem,
Masz doświadczenie w obszarze architektury (nie wymagane, lecz mile widziane). 

OFERUJEMY

Różnoroność - mamy do zaproponowania wiele ambitnych projektów,
Dogodną lokalizację - mieścimy się niedaleko Ronda Daszyńskiego,
Dodatkowe benefity – Pakiet Medicover i kartę Multisport,
Rozwój – zapewniamy ambitne projekty, liczne wyzwania i możliwość świadomego budowanie własnej kariery, 
Otwartość –  tworzymy przestrzeń do eksperymentowania i realizowania własnych pomysłów,
Niepowtarzalną atmosferę w pracy – inicjatywy integracyjne są u nas na porządku dziennym: wieczory planszówkowe, LAN/VPN parties, codzienna gimnastyka w biurze, regularne „escape roomy” i wiele innych. "
8,https://justjoin.it/offers/genesismobo-rust-backend-developer,DevOps Engineer,GENESISMOBO,30+,b2b,mid,9 000 - 13 000 PLN net/month,"Wróbla 33, Warszawa","[{'Linux': 'master'}, {'Bash/Shell': 'advanced'}, {'Docker': 'regular'}, {'PostgreSQL': 'regular'}, {'Git': 'regular'}]",https://genesismobo.com/,True,"Tym razem, bardziej niestandardowo, szukamy Administratora o mocnych zdolnościach do samodzielnego rozwiązywania zagadnień, który dołączy do niewielkiego, ambitnego i zgranego zespołu rozwijającego własne oprogramowanie, produkty w tym aplikację Time4BUS. 

... jeśli jest dla Ciebie ważne aby któremuś z naszych systemów, aplikacji nie zabrakło zasobów serwerowych, wyzwania to dla Ciebie czysta przyjemność - szczególnie kiedy się im podoła ;), a luźna, przyjazna atmosfera jest tym czego również szukasz to zachęcamy do zapoznania się z poniższą treścią i jednocześnie zapraszamy do aplikowania.

GenesisMobo jest firmą w 100% opartą o polski kapitał, posiadającą duże doświadczenie technologiczne i mocne referencje na rynku polskim. Zajmujemy się m.in. projektowaniem oprogramowania i aplikacji mobilnych związanych z branżą transportową, w głównej mierze z transportem publicznym (miejskim). Ponadto jesteśmy firmą projektującą i wytwarzającą urządzenia związane z transmisją danych, lokalizacją pojazdów czy monitoringiem. Jesteśmy dumni z naszego zespołu oraz produktów które stworzyliśmy dla naszych Klientów i Pasażerów. 

Zajmowałbyś się ... tym wszystkim co związane z bezpieczeństwem, wydajnością, skalowalnością i niech nigdy nie zabraknie zasobów dla naszych systemów i aplikacji :) a więc będziesz:
administrował serwerami, infrastrukturą z systemem operacyjnym Linux
automatyzował i zarządzał rozproszonymi procesami i systemami
miał wpływ na bezpieczeństwo, skalowalność infrastruktury
monitorował i nadawał zasoby dla naszych aplikacji i systemów
utrzymywał kopie zapasowe
analizował i rozwiązywał zgłaszane przez zespół problemy

Potrzebowalibyśmy od Ciebie:
bardzo dobrej znajomości Linux (Ubuntu, Debian)
znajomości języków skryptowych (Bas, Shell itp.)
zarządzaniem maszynami wirtualnymi w środowisku KVM
znajomości narzędzi konteneryzacyjnych
znajomości VLAN, protokołu VPN (OpenVPN, IPsec) i TLS
znajomości protokołów IPv4, IPv6, TCP, UDP
znajomości Nagios
podstawowej znajomości Windows Serwer
znajomości: konfiguracji sieci komputerowej, sprzętu sieciowego, oprogramowania sieciowego np. OpenWRT
umiejętności wykorzystania oprogramowania kontroli wersji Git

Dodatkowe informacje:
szukamy osoby z którą chcemy współpracować na dłużej, najchętniej na ok. 40h/tydzień
wymagane doświadczenie komercyjne jako Administrator: 2+ lata 
mile widziane wykształcenie: informatyka/matematyka/fizyka/telekomunikacja inne techniczne
angielski na poziomie czytania dokumentacji technicznej, polski na poziomie swobodnego komunikowania się w biurze

Oferujemy:
pracę w zgranym zespole, z zaangażowanymi i utalentowanymi osobami
udział w bardzo ciekawych i innowacyjnych projektach
dobrą lokalizacją biura, które znajduje się 7 min spacerem od stacji metra Służew
zatrudnienie na UoP, B2B (preferowana), wynagrodzenie dopasowane do umiejętności
pomocnych kolegów i koleżanki
przyjazną atmosferę jaką wspólnie tworzymy, zupełny brak powodów do stresu
kawę, herbatę, świeże owoce, przekąski
laptop + 1(2) monitory

Dodatkowo oczekujemy:
 chęci do ciągłego rozwijania się!
samodzielności!
dzielenia się wiedzą
zaangażowania i otwartości

Dotarłeś do końca ogłoszenia! to oznacza, że to co robimy może Cię interesować.
Czekają Cię ciekawe zadania, zapraszamy!

Jak aplikować?

Jeśli zrealizowałeś projekty, którymi chcesz się pochwalić, podeślij koniecznie link do swojego repozytorium na Github'ie/GitLab'ie."
9,https://justjoin.it/offers/diverse-consulting-group-software-developer,Software Developer (Scala),Diverse Consulting Group,200+,b2b,senior,20 160 - 21 000 PLN net/month,"Nowogrodzka 21, Warszawa","[{'Scala': 'master'}, {'Hadoop': 'master'}, {'Spark': 'master'}, {'SQL': 'regular'}, {'Python': 'junior'}]",https://diversecg.pl/,True,"Diverse CG is a modern technology company, gathering in its ranks IT related professionals. Due to the continuous development and the large number of recruitment projects that we carry out for our Partners, we are looking for a person for the position:

Project description:
The Savings Delivery Stream will build the foundation capability of the new savings and fixed term deposit products.
The stream will also deliver the base capability which will enable the migration of the current savings and fixed term
deposit product portfolio into the target product portfolio.

Requirements:
Programming skills: senior Scala level, basic Python skills, functional programming principles, design patterns, SQL
Expert Spark skills
Expert knowledge of Hadoop ecosystem (HDFS, Hive, Avro, YARN, Kafka, Flume, HBase, MapR, Cloudera, Splunk)
Overall knowledge of distributed systems, data partitioning/replication
Development tools: git, bash, unix ecosystem
CI/CD: Jenkins, Ansible
Overall knowledge of data governance and security

We offer:
1 year (or longer) B2B contract
Private medical care
Multisport card
For now - remote work, then in office Warsaw or Gdynia

If you're interested, please apply! :)"
